illustration_id,subject,family,prompt,negative_prompt
biker__mosaic__on_a_mountain,Biker,mosaic_scene,"bold flat vector illustration, a chopper motorcycle in three-quarter view, long forks, ape hangers, on a mountain, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
biker__mosaic__by_the_coast,Biker,mosaic_scene,"bold flat vector illustration, a chopper motorcycle in three-quarter view, long forks, ape hangers, by the coast, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
biker__mosaic__in_the_fog,Biker,mosaic_scene,"bold flat vector illustration, a chopper motorcycle in three-quarter view, long forks, ape hangers, in the fog, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
biker__mosaic__at_dawn,Biker,mosaic_scene,"bold flat vector illustration, a chopper motorcycle in three-quarter view, long forks, ape hangers, at dawn, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
biker__evolution,Biker,evolution,"bold flat vector illustration, four-stage silhouette progression from child to adult ending with a chopper motorcycle in three-quarter view, long forks, ape hangers, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__hero,Cafe Racer,hero,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__hero__at_sunset,Cafe Racer,hero_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, at sunset, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__hero__in_a_storm,Cafe Racer,hero_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, in a storm, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__hero__on_a_mountain,Cafe Racer,hero_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, on a mountain, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__hero__by_the_coast,Cafe Racer,hero_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, by the coast, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__hero__in_the_fog,Cafe Racer,hero_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, in the fog, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__hero__at_dawn,Cafe Racer,hero_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, at dawn, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__insider,Cafe Racer,insider,"bold flat vector illustration, a clean technical diagram only a cafe racer enthusiast would recognise, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__mosaic,Cafe Racer,mosaic,"bold flat vector illustration, many small cafe racer silhouettes massed to form a large skull, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__mosaic__at_sunset,Cafe Racer,mosaic_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, at sunset, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__mosaic__in_a_storm,Cafe Racer,mosaic_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, in a storm, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__mosaic__on_a_mountain,Cafe Racer,mosaic_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, on a mountain, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__mosaic__by_the_coast,Cafe Racer,mosaic_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, by the coast, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__mosaic__in_the_fog,Cafe Racer,mosaic_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, in the fog, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__mosaic__at_dawn,Cafe Racer,mosaic_scene,"bold flat vector illustration, a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, at dawn, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
cafe_racer__evolution,Cafe Racer,evolution,"bold flat vector illustration, four-stage silhouette progression from child to adult ending with a cafe racer motorcycle in side profile, clip-on bars, bum-stop seat, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__hero,Superbike,hero,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__hero__at_sunset,Superbike,hero_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, at sunset, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__hero__in_a_storm,Superbike,hero_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, in a storm, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__hero__on_a_mountain,Superbike,hero_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, on a mountain, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__hero__by_the_coast,Superbike,hero_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, by the coast, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__hero__in_the_fog,Superbike,hero_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, in the fog, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__hero__at_dawn,Superbike,hero_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, at dawn, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__insider,Superbike,insider,"bold flat vector illustration, a clean technical diagram only a superbike enthusiast would recognise, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__mosaic,Superbike,mosaic,"bold flat vector illustration, many small superbike silhouettes massed to form a large skull, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__mosaic__at_sunset,Superbike,mosaic_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, at sunset, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__mosaic__in_a_storm,Superbike,mosaic_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, in a storm, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__mosaic__on_a_mountain,Superbike,mosaic_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, on a mountain, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__mosaic__by_the_coast,Superbike,mosaic_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, by the coast, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__mosaic__in_the_fog,Superbike,mosaic_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, in the fog, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__mosaic__at_dawn,Superbike,mosaic_scene,"bold flat vector illustration, a sports motorcycle leaned into a corner, knee down, at dawn, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
superbike__evolution,Superbike,evolution,"bold flat vector illustration, four-stage silhouette progression from child to adult ending with a sports motorcycle leaned into a corner, knee down, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
motocross__hero,Motocross,hero,"bold flat vector illustration, a motocross bike mid-jump, rider standing on the pegs, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
motocross__insider,Motocross,insider,"bold flat vector illustration, a clean technical diagram only a motocross enthusiast would recognise, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
motocross__mosaic,Motocross,mosaic,"bold flat vector illustration, many small motocross bike silhouettes massed to form a large skull, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
motocross__evolution,Motocross,evolution,"bold flat vector illustration, four-stage silhouette progression from child to adult ending with a motocross bike mid-jump, rider standing on the pegs, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__hero,Scooter,hero,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__hero__at_sunset,Scooter,hero_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, at sunset, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__hero__in_a_storm,Scooter,hero_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, in a storm, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__hero__on_a_mountain,Scooter,hero_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, on a mountain, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__hero__by_the_coast,Scooter,hero_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, by the coast, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__hero__in_the_fog,Scooter,hero_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, in the fog, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__hero__at_dawn,Scooter,hero_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, at dawn, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__insider,Scooter,insider,"bold flat vector illustration, a clean technical diagram only a scooter enthusiast would recognise, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__mosaic,Scooter,mosaic,"bold flat vector illustration, many small scooter silhouettes massed to form a large skull, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__mosaic__at_sunset,Scooter,mosaic_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, at sunset, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__mosaic__in_a_storm,Scooter,mosaic_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, in a storm, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__mosaic__on_a_mountain,Scooter,mosaic_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, on a mountain, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__mosaic__by_the_coast,Scooter,mosaic_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, by the coast, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__mosaic__in_the_fog,Scooter,mosaic_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, in the fog, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
scooter__mosaic__at_dawn,Scooter,mosaic_scene,"bold flat vector illustration, a classic Italian scooter with chrome mirrors, at dawn, thick confident linework, limited palette of four flat spot colours on black, high contrast, screen-print separation, strong silhouette readable at arm's length, centred composition, isolated on solid black, no text, no lettering, no watermark, no gradient mesh, t-shirt graphic","text, letters, words, watermark, signature, photorealistic, 3d render, soft gradients, drop shadow, busy background, clutter, low contrast"
