# audience | parent niche | tones (m=motivational f=funny h=heartfelt s=sign/welcome)
Brummies and the Black Country|heritage_dialect|fh
Cornish folk|heritage_dialect|fh
Londoners|heritage_dialect|fh
West Country folk|heritage_dialect|fh
Welsh families|heritage_dialect|fh
Scottish families|heritage_dialect|fh
Irish families|heritage_dialect|fh
Northern Irish families|heritage_dialect|fh
Polish families in the UK|heritage_dialect|h
Indian families in the UK|heritage_dialect|h
Pakistani families in the UK|heritage_dialect|h
Nigerian families in the UK|heritage_dialect|h
Caribbean families in the UK|heritage_dialect|h
Italian families|heritage_dialect|h
people in recovery and sobriety|fitness_selfcare|mh
anxiety and mental health|fitness_selfcare|mh
cancer survivors|fitness_selfcare|mh
grief and loss|memorial|h
baby loss|memorial|h
pet loss|memorial|h
armed forces remembrance|memorial|h
divorce and fresh starts|motivation|mf
new job starters|motivation|m
job leavers|thank_you_jobs|fh
first-time buyers|new_home|fh
moving abroad|new_home|h
empty nesters|home_family|fh
stoic philosophy fans|proverbs_classics|m
leadership and management|biz_office_pro|m
discipline and self-improvement|motivation|m
gratitude and positivity|motivation|mh
confidence for women|motivation|m
body positivity|fitness_selfcare|m
kindness|motivation|h
Christmas at home|christmas_seasonal|fh
Halloween decor|christmas_seasonal|f
Easter decor|christmas_seasonal|h
autumn decor|christmas_seasonal|h
spring decor|christmas_seasonal|h
summer garden parties|garden_outdoor|f
Valentine's Day|wedding_love|hf
Mother's Day|christmas_seasonal|h
Father's Day|christmas_seasonal|hf
Eid|faith_islamic|h
Diwali|faith_dharmic|h
Chinese New Year|words_aesthetic|h
St Patrick's Day|faith_blessings|f
Burns Night|heritage_dialect|f
St David's Day|heritage_dialect|h
new baby nursery|nursery_kids|h
kids' bedrooms|nursery_kids|mf
playrooms|nursery_kids|fs
dinosaur-loving kids|nursery_kids|f
space-loving kids|nursery_kids|mf
football-mad kids|nursery_kids|mf
unicorn and rainbow kids|nursery_kids|h
